,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2007-03-07,12.069269180297852,,16.03660774230957,19.743181228637695,24.194095611572266,8.844898223876953,15.514406204223633,,9.77268123626709,23.973388671875,14.827770233154297
2007-03-08,12.188246726989746,,16.176910400390625,19.921340942382812,24.373764038085938,8.918764114379883,15.658172607421875,,9.824047088623047,24.052223205566406,14.945204734802246
2007-03-09,12.330351829528809,,16.10675048828125,19.971452713012695,24.498165130615234,8.942094802856445,15.706092834472656,,9.811205863952637,24.10239028930664,14.976516723632812
2007-03-12,12.37001895904541,,16.08431053161621,19.971452713012695,24.615652084350586,8.996522903442383,15.724061965942383,,9.908806800842285,24.10239028930664,14.956941604614258
2007-03-13,12.069269180297852,,15.868243217468262,19.375703811645508,24.201013565063477,8.85267162322998,15.424555778503418,,9.775248527526855,23.70821189880371,14.682943344116211
2007-03-14,12.145282745361328,,16.05063819885254,19.42024040222168,24.29776382446289,8.934318542480469,15.454504013061523,,9.824047088623047,23.80138397216797,14.655535697937012
2007-03-15,12.376623153686523,,16.047828674316406,19.654096603393555,24.325407028198242,8.938206672668457,15.652178764343262,,9.949899673461914,23.858728408813477,14.686856269836426
2007-03-16,12.276689529418945,,15.87525749206543,19.580286026000977,24.412660598754883,8.92265510559082,15.609441757202148,,9.915817260742188,23.883176803588867,14.635096549987793
2007-03-19,12.458687782287598,,16.128623962402344,19.70887565612793,24.585796356201172,8.980971336364746,15.711774826049805,,9.988112449645996,24.070215225219727,14.8507719039917
2007-03-20,12.511639595031738,,16.24405288696289,19.887792587280273,24.64813995361328,9.039286613464355,15.862275123596191,,10.13272476196289,24.192502975463867,14.960577011108398
2007-03-21,12.653922080993652,,16.536836624145508,20.340686798095703,24.98749351501465,9.22202205657959,16.012771606445312,,10.251505851745605,24.43709373474121,15.195870399475098
2007-03-22,12.594359397888184,,16.869033813476562,20.217683792114258,25.03597068786621,9.187029838562012,16.091022491455078,,10.241183280944824,24.523412704467773,15.152729034423828
2007-03-23,12.64730453491211,,16.953495025634766,20.24004554748535,25.181407928466797,9.163702964782715,16.127151489257812,,10.290239334106445,24.401124954223633,15.160572052001953
2007-03-26,12.736652374267578,,17.071739196777344,20.139404296875,24.973630905151367,9.175365447998047,16.012771606445312,,10.334135055541992,24.43709373474121,15.08607292175293
2007-03-27,12.597673416137695,,17.102712631225586,20.016399383544922,24.85590362548828,9.179253578186035,15.940531730651855,,10.318643569946289,24.264446258544922,14.99195384979248
2007-03-28,12.471924781799316,,17.099884033203125,19.764801025390625,24.655061721801758,9.0742769241333,15.910431861877441,,10.297985076904297,24.09899139404297,14.823321342468262
2007-03-29,12.567893028259277,,17.206865310668945,19.86543846130371,24.64813995361328,9.085943222045898,16.0007266998291,,10.357380867004395,24.214086532592773,14.874298095703125
2007-03-30,12.591053009033203,,16.970386505126953,19.921340942382812,24.620433807373047,9.066507339477539,16.042869567871094,,10.251505851745605,24.206899642944336,14.91351318359375
2007-04-02,12.587743759155273,,17.13648796081543,19.736839294433594,24.6619815826416,9.113158226013184,16.085010528564453,,10.496817588806152,24.336383819580078,14.964502334594727
2007-04-03,12.72341537475586,,17.243467330932617,19.98285484313965,24.83511734008789,9.187029838562012,16.193359375,,10.50973129272461,24.588163375854492,15.156649589538574
2007-04-04,12.743271827697754,,17.27162742614746,19.98285484313965,24.738170623779297,9.241462707519531,16.265605926513672,,10.463249206542969,24.732032775878906,15.113517761230469
2007-04-05,12.726725578308105,,17.384231567382812,19.994029998779297,24.814361572265625,9.276445388793945,16.3077392578125,,10.50973129272461,24.904691696166992,15.235081672668457
2007-04-09,12.921958923339844,,17.31948471069336,19.988435745239258,24.786643981933594,9.276445388793945,16.265605926513672,,10.587197303771973,24.911874771118164,15.22331428527832
